room,stem,source_path,output_640,output_1280,alt,caption,credit,source_dimensions
radical-rick,room-overview,/mnt/data/escape_v140_visual_work/radical-overview.jpg,assets/images/radical-rick/room-overview-640.jpg,assets/images/radical-rick/room-overview-1280.jpg,"Radical Rick figure, campaign evidence, and DIRTYFEST 3 watercolor displayed together.",Authentic Lititz BMX records previewing the Radical Rick room.,Lititz BMX archive source record,1800x850
radical-rick,figure,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0129-hooligan-bmx-radical-rick-figure.png,assets/images/radical-rick/figure-640.jpg,assets/images/radical-rick/figure-1280.jpg,Preserved Radical Rick figure and packaging.,Radical Rick figure preserved in the Lititz BMX collection.,Lititz BMX archive source record,1080x1080
radical-rick,premier-issue,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0133-bmx-plus-radical-rick-premier-issue.png,assets/images/radical-rick/premier-issue-640.jpg,assets/images/radical-rick/premier-issue-1280.jpg,BMX Plus! Radical Rick premiere issue artifact.,Publication artifact grounding Radical Rick in BMX comic history.,Lititz BMX archive source record,1080x1080
radical-rick,dirtyfest-watercolor,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0001-dirtyfest-3-original-watercolor-painting.png,assets/images/radical-rick/dirtyfest-watercolor-640.jpg,assets/images/radical-rick/dirtyfest-watercolor-1280.jpg,Original Radical Rick watercolor created for DIRTYFEST 3.,The DIRTYFEST 3 original watercolor in the Lititz BMX collection.,Lititz BMX archive source record,1080x1080
radical-rick,cru-jones-comparison,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/artifact-images/26-0057-radical-rick-bill-allen-signed-print.png,assets/images/radical-rick/cru-jones-comparison-640.jpg,assets/images/radical-rick/cru-jones-comparison-1280.jpg,Framed print featuring the later Cru Jones versus Radical Rick comparison.,A later visual comparison; not a shared origin story.,Lititz BMX archive source record,1080x1080
radical-rick,campaign-post,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/campaign/rebuild-radical-rick-campaign-post.png,assets/images/radical-rick/campaign-post-640.jpg,assets/images/radical-rick/campaign-post-1280.jpg,Lititz BMX #RebuildRadicalRick campaign post showing pieces of the figure.,Campaign evidence from the public rebuilding story.,Lititz BMX archive source record,1080x1080
radical-rick,physical-display,/mnt/data/source_extract/Lititz-BMX-Radical-Rick-Collection-Volume-One-v1.0.0-collection-patch/collections/radical-rick-collection/source/photographs/radical-rick-volume-one-physical-display.jpg,assets/images/radical-rick/physical-display-640.jpg,assets/images/radical-rick/physical-display-1280.jpg,"Physical Radical Rick collection display with art, figures, publications, and records.",The assembled Radical Rick collection display.,Lititz BMX archive source record,1280x405
harrys-legacy-toolbox,room-overview,/mnt/data/escape_v140_visual_work/harry-overview.jpg,assets/images/harrys-legacy-toolbox/room-overview-640.jpg,assets/images/harrys-legacy-toolbox/room-overview-1280.jpg,Harry Leary toolbox and four preserved objects featured in the Legacy Toolbox.,Authentic Harry Leary collection objects used in the room.,Lititz BMX archive source record,1800x1150
harrys-legacy-toolbox,toolbox,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0046-harry-leary-toolbox.png,assets/images/harrys-legacy-toolbox/toolbox-640.jpg,assets/images/harrys-legacy-toolbox/toolbox-1280.jpg,Harry Leary’s metal toolbox with open drawers holding tools and parts.,Harry’s real toolbox anchors the room’s drawer concept.,Lititz BMX archive source record,1080x1080
harrys-legacy-toolbox,uci-helmet,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0030-harry-leary-2017-uci-worlds-championship-helmet.png,assets/images/harrys-legacy-toolbox/uci-helmet-640.jpg,assets/images/harrys-legacy-toolbox/uci-helmet-1280.jpg,Harry Leary’s preserved 2017 UCI Worlds helmet.,Competition evidence preserved in the Lititz BMX collection.,Lititz BMX archive source record,1080x1080
harrys-legacy-toolbox,signed-frame,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0038-harry-leary-specialized-hemi-frame-jeremy-mcgrath-signatures.png,assets/images/harrys-legacy-toolbox/signed-frame-640.jpg,assets/images/harrys-legacy-toolbox/signed-frame-1280.jpg,Close view of the Specialized Hemi frame signed by Jeremy McGrath.,The signed frame supports the friendship and relationship record.,Lititz BMX archive source record,1080x1080
harrys-legacy-toolbox,tangent-beanie,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0064-tangent-beanie-smells-like-harry.png,assets/images/harrys-legacy-toolbox/tangent-beanie-640.jpg,assets/images/harrys-legacy-toolbox/tangent-beanie-1280.jpg,Tangent beanie embroidered with the phrase “Smells Like Harry.”,A personal-effects artifact preserving Harry’s humor and personality.,Lititz BMX archive source record,1080x1080
harrys-legacy-toolbox,damaged-hlt4,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/artifact-images/26-0052-damaged-daylight-hlt4-frame-last-hlt4.png,assets/images/harrys-legacy-toolbox/damaged-hlt4-640.jpg,assets/images/harrys-legacy-toolbox/damaged-hlt4-1280.jpg,Close view of Harry Leary’s damaged green Daylight HLT4 frame.,"The frame’s use, damage, provenance, and story make it central to the collection.",Lititz BMX archive source record,1080x1080
harrys-legacy-toolbox,physical-room,/mnt/data/source_extract/Lititz-BMX-Harrys-Room-v1.0.0-collection-patch/collections/harrys-room/source/photographs/physical-harrys-room.jpg,assets/images/harrys-legacy-toolbox/physical-room-640.jpg,assets/images/harrys-legacy-toolbox/physical-room-1280.jpg,"Physical Harry’s Room display containing bicycles, awards, equipment, and preserved objects.",The physical collection context behind the digital experience.,Lititz BMX archive source record,1280x1640
jersey-wall,room-overview,/mnt/data/escape_v140_visual_work/jersey-overview.jpg,assets/images/jersey-wall/room-overview-640.jpg,assets/images/jersey-wall/room-overview-1280.jpg,Five jersey evidence cards used to reconstruct the Lititz BMX Jersey Wall.,Actual jersey-wall records used in the curatorial room.,Lititz BMX archive source record,1700x1150
jersey-wall,connor-fields,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0019.png,assets/images/jersey-wall/connor-fields-640.jpg,assets/images/jersey-wall/connor-fields-1280.jpg,Jersey Wall card for the Connor Fields signed factory misprint jersey.,Curatorial source card for the misprint jersey.,Lititz BMX archive source record,520x650
jersey-wall,team-usa,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0024.png,assets/images/jersey-wall/team-usa-640.jpg,assets/images/jersey-wall/team-usa-1280.jpg,Jersey Wall card for Greg Mathias’s signed Team USA jersey.,Curatorial source card for the Team USA jersey.,Lititz BMX archive source record,520x650
jersey-wall,ace-australia,/mnt/data/source_extract/Lititz-BMX-Digital-Jersey-Wall-v1.0.0-collection-patch/collections/jersey-collection/assets/wall-cards/26-0073.png,assets/images/jersey-wall/ace-australia-640.jpg,assets/images/jersey-wall/ace-australia-1280.jpg,Jersey Wall card for the ACE jersey given to Harry Leary in Australia.,Curatorial source card documenting gift and geographic context.,Lititz BMX archive source record,520x650
jersey-wall,fall-risk-pair,/mnt/data/escape_v140_visual_work/jersey-pair.jpg,assets/images/jersey-wall/fall-risk-pair-640.jpg,assets/images/jersey-wall/fall-risk-pair-1280.jpg,Paired Fall Risk Racing Leary and Mathias jersey cards.,The intended paired-team display relationship.,Lititz BMX archive source record,1500x850
jersey-wall,finished-wall,/mnt/data/escape_v140_visual_work/jersey-overview.jpg,assets/images/jersey-wall/finished-wall-640.jpg,assets/images/jersey-wall/finished-wall-1280.jpg,Five evidence cards assembled as a completed Jersey Wall preview.,The final interpretation brings multiple provenance stories into one wall.,Lititz BMX archive source record,1700x1150
backstage-bmx,room-overview,/mnt/data/escape_v140_visual_work/backstage-overview.jpg,assets/images/backstage-bmx/room-overview-640.jpg,assets/images/backstage-bmx/room-overview-1280.jpg,Four Lititz BMX archive profile pages connecting musicians to BMX.,Source-backed artist and BMX relationships used in Backstage BMX.,Lititz BMX archive source record,1700x1200
backstage-bmx,dimebag,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/05-dimebag-darrell/source/page.png,assets/images/backstage-bmx/dimebag-640.jpg,assets/images/backstage-bmx/dimebag-1280.jpg,Dimebag Darrell Lititz BMX musician-and-BMX archive profile page.,Archived Lititz BMX profile page used as evidence.,Lititz BMX archive source record,927x913
backstage-bmx,vin-rock,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/02-vin-rock/source/page.png,assets/images/backstage-bmx/vin-rock-640.jpg,assets/images/backstage-bmx/vin-rock-1280.jpg,Vin Rock Lititz BMX musician-and-BMX archive profile page.,Archived Lititz BMX profile page used as evidence.,Lititz BMX archive source record,922x1189
backstage-bmx,meek-mill,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/14-meek-mill/source/page.png,assets/images/backstage-bmx/meek-mill-640.jpg,assets/images/backstage-bmx/meek-mill-1280.jpg,Meek Mill Lititz BMX musician-and-BMX archive profile page.,Archived Lititz BMX profile page used as evidence.,Lititz BMX archive source record,931x931
backstage-bmx,machine-gun-kelly,/mnt/data/source_extract/Lititz-BMX-Musicians-Who-Ride-BMX-GitHub-Overlay-v1.1.0/in-entertainment/musicians-who-ride-bmx/profiles/13-machine-gun-kelly/source/page.png,assets/images/backstage-bmx/machine-gun-kelly-640.jpg,assets/images/backstage-bmx/machine-gun-kelly-1280.jpg,Machine Gun Kelly Lititz BMX musician-and-BMX archive profile page.,Archived Lititz BMX profile page used as evidence.,Lititz BMX archive source record,931x891
sugar-cayne,completed-bike,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/photographs/completed-bike-fire-hydrant.png,assets/images/sugar-cayne/completed-bike-640.jpg,assets/images/sugar-cayne/completed-bike-1280.jpg,Completed Lititz BMX Huffy HX Pro Cruiser photographed beside a fire hydrant.,The completed bike at the center of the full-circle story.,Lititz BMX archive source record,1080x622
sugar-cayne,inspiration-post,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/facebook/ch01-2026-04-04-sugar-cayne-inspiration.png,assets/images/sugar-cayne/inspiration-post-640.jpg,assets/images/sugar-cayne/inspiration-post-1280.jpg,Lititz BMX post documenting Sugar Cayne coverage as the build inspiration.,The editorial spark that began the Lititz BMX Huffy project.,Lititz BMX archive source record,1080x1015
sugar-cayne,article-header,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/sugar-cayne/article-page-01-header-and-introduction.png,assets/images/sugar-cayne/article-header-640.jpg,assets/images/sugar-cayne/article-header-1280.jpg,Captured Sugar Cayne Bike of the Day article header and introduction.,Publication capture connecting the completed bike back to Sugar Cayne.,Lititz BMX archive source record,914x1427
sugar-cayne,stem-cap,/mnt/data/source_extract/myHuffyBMXBuild-v1.0.0-campaign-patch/campaigns/my-huffy-bmx-build/source/facebook/ch06-2026-04-23-stem-cap-installed.png,assets/images/sugar-cayne/stem-cap-640.jpg,assets/images/sugar-cayne/stem-cap-1280.jpg,Build-stage post showing the Lititz BMX archive stem cap installed on the Huffy.,One documented component decision in the build campaign.,Lititz BMX archive source record,1019x1080
sugar-cayne,timeline,/mnt/data/escape_v140_visual_work/sugar-timeline.jpg,assets/images/sugar-cayne/timeline-640.jpg,assets/images/sugar-cayne/timeline-1280.jpg,"Four-image sequence showing inspiration, a build detail, first ride, and completed bike.",A visual chronology from inspiration through completion.,Lititz BMX archive source record,1700x1150
sugar-cayne,publication-audit,/mnt/data/escape_v140_visual_work/sugar-publication.jpg,assets/images/sugar-cayne/publication-audit-640.jpg,assets/images/sugar-cayne/publication-audit-1280.jpg,"Four captured Sugar Cayne publication views showing the article, metrics, reviews, and rating.",A dated publication snapshot to audit carefully.,Lititz BMX archive source record,1700x1250
